voter,licensed,philippines,gender,age,working,industry,years_service,institution,tenure,gross_salary,net_salary,benefits1,benefits2,benefits3,benefits4,benefits5,otherbenefits1,otherbenefits2,otherbenefits3,otherbenefits4,materials1,materials2,materials3,materials4,materials5,materials6,materials7,othermaterials1,othermaterials2,othermaterials3,othermaterials4,position,fiveyears,pursue,education,enrolled,completing,study_again,5yearsdegree,cpd1,cpd2,cpd3,cpd4,cpdsupport1,cpdsupport2,cpdsupport3,cpdsatisfaction,cpdbarriers1,cpdbarriers2,cpdbarriers3,topics1,topics2,topics3,topics4,topics5,location,worktravel,filipino,dialect,foreignlang,type,roles,institutionposition,primaryjob,affiliation,factor
538,"Yes, I have a valid and up-to-date PRC license for librarians","No, I am in the Philippines right now but only for vacation",Woman,36,"No, I am currently not working for reasons other than retirement.",library,13,private (in-house),NA,22,18,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,None,NA,NA,NA,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,None,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),No.,NA,Maybe,Short | Certificate | Diploma Program,"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),from the work place (private sponsorship),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,27,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,permanent,20,10,paid vacation and/or sick leaves,NA,NA,NA,NA,None,None,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,Supplementary reading materials,NA,NA,NA,regular / senior staff (non-supervisory),Yes,I'll be staying in the field of librarianship,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),within the work place (in-house trainings),NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Expensive training fee,NA,NA,New trends in the field of library and information science,NA,NA,NA,NA,CARAGA,No,No,Others,None,"School Library specifically Library Hub, a project of the Department of Education",Records In-Charge,Librarian I,I am a one man librarian,PLAI-CARAGA,To gain friends from other library and establish good rapport with them that would be of great help to my library
540,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,20,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),permanent,14,6,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,regular / senior staff (non-supervisory),Yes,None,Bachelor's degree (BLIS),No.,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),None,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Bicolano,NA,School Library,None,Sole Librarian,Reference,None,NA
541,"No, I have never taken any licensure examination for librarians and/or never applied for a PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,26,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,government,job order (J.O.),19,19,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,consultant / freelancer / self-employed,Maybe / Undecided,NA,Bachelor's degree (non-BLIS),No.,NA,Yes,Short | Certificate | Diploma Program,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA,NA,NA,NA,NA,Region IV,No,Yes,Others,NA,Public school library,"Theater Club Adviser and English Teacher, actually I am just assigned to handle our library",Librarian,NA,NA,NA
542,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,26,"Yes, I am currently employed by an institution, agency, individual or similar.",library,4,government,permanent,20,6,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",law materials and resources,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,Culinary,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Restrained budget,NA,NA,Digitization,NA,NA,NA,NA,CAR,No,No,Others,IKalinga dialect; Tagalog,Academic Library,Data Manager,Mid-level librarian working with other librarian,Cataloging; Collection Development,PLAI,NA
543,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,private (in-house),permanent,23,22,monetary allowances,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,Reference materials and database subscriptions,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),Yes,Master's degree (MLIS),Yes,Post-graduate Certificate or Diploma (non-LIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,"being a reference librarian
virtual librarianship
online resources
marketing strategies in social media",NA,NA,NA,NA,NCR,No,Yes,NA,NA,Academic Library,NA,Reference Librarian/ Librarian II,Reference and Information Sources Section,"PLAI, PAARL",the training and seminars they offer
544,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,40,"Yes, I am currently employed by an institution, agency, individual or similar.",library,19,private (BPO),permanent,NA,NA,night differential pay,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,monetary allowances,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,32,"Yes, I am currently employed by an institution, agency, individual or similar.",library,9,private (in-house),permanent,26,23,paid vacation and/or sick leaves,NA,NA,NA,NA,Rice allowance,NA,NA,NA,archives (physical),hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,Non print materials,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,Marketing,Master's degree (MLIS),Yes,Short | Certificate | Diploma Program,Yes,Juris Doctor / Bachelor of Laws,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Expensive registration fees,NA,NA,Global librarianship,NA,NA,NA,NA,Region III,No,No,Kapampangan,Nihonggo,School library,Archivist,Head librarian working with other librarians,Administration/management,Plai,It's a responsibility to be a member of professional organization
546,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,28,"Yes, I am currently employed by an institution, agency, individual or similar.",archives and/or records management,1,private (in-house),permanent,14,20,monetary allowances,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,institutional files and records,archives (physical),"electronic material (digital titles, digital archives, etc)",law materials and resources,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,Bachelor's degree (BLIS),Yes,Master's degree (non-MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Bicolano,NA,NA,"Archivist, researcher",NA,"Records officer, reference",Plai,NA
547,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,29,"Yes, I am currently employed by an institution, agency, individual or similar.",library,5,government,permanent,15,13,monetary allowances,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,institutional files and records,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),No.,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region VI,No,No,Ilonggo,NA,NA,NA,acting librarian,NA,PLAI,NA
548,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",archives and/or records management,2,non-profit,permanent,NA,NA,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,monetary allowances,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,institutional files and records,archives (physical),"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (non-MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Having to shell out a considerable amount of money to attend out of town seminars,NA,NA,Archival conservation,Database management,NA,NA,NA,NCR,Yes,Yes,Bicolano,NA,Academic,Archivist,Librarian/Archivist,Archival management,PLAI,Relevance to the nature of my current work
549,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,38,"Yes, I am currently employed by an institution, agency, individual or similar.",library,16,government,permanent,21,6,paid vacation and/or sick leaves,NA,NA,NA,NA,Security of tenure,NA,NA,NA,law materials and resources,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,None,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
550,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,32,"Yes, I am currently employed by an institution, agency, individual or similar.",archives and/or records management,9,private (in-house),permanent,NA,NA,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",institutional files and records,archives (physical),NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,NA,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),from the work place (private sponsorship),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Lack of advanced technical trainings,NA,NA,NA,NA,NA,NA,NA,NCR,Yes,Yes,NA,NA,Archives,"Archivist, Museum Curator, Graphic designer",NA,NA,"PLAI, ICA, UPLSAA",NA
551,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,58,"Yes, I am currently employed by an institution, agency, individual or similar.",library,7,government,permanent,29,29,monetary allowances,NA,NA,NA,NA,"13th month bonus, pei,pbb,2000 monthly allowance","PBB, PEI,Bonuses",NA,NA,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,Modules,Opac,None,supervisory / mid-management level,No (planning to shift to other fields or industry),Consultancy,Bachelor's degree (non-BLIS),Yes,Master's degree (MLIS),No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,government,permanent,24,23,NONE / Not Applicable,night differential pay,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),Yes,Master's degree (MLIS),Maybe,Doctor of Philosophy (Ph.D),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations","trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,"Leadership , archiving",NA,NA,NA,NA,Region IV,No,Yes,Cebuano,NA,College library,NA,Mid-level librarian working with other librarian,NA,PLAI,NA
553,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,44,"Yes, I am currently employed by an institution, agency, individual or similar.",library,23,government,permanent,30,28,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),No.,NA,No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,NA,NA,Public library,NA,Children's librarian,Section Head,PLAI,NA
554,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,27,"Yes, I am currently employed by an institution, agency, individual or similar.",archives and/or records management,7,government,contractual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,36,"Yes, I am currently employed by an institution, agency, individual or similar.",library,14,government,permanent,20,NA,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,Flexible working hours,NA,NA,NA,law materials and resources,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,IEC Materials,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,NA,Maybe,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,Library System Management,NA,NA,NA,NA,NCR,No,Yes,NA,NA,Special Library,NA,Mid-level librarian working with other librarian,NA,PLAI,NA
556,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,27,"Yes, I am currently employed by an institution, agency, individual or similar.",archives and/or records management,7,government,contractual,NA,NA,monetary allowances,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,archives (physical),institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Maybe / Undecided,LIS / Archives Education / Teaching,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Trainings approved with CPD point are mostly expensive and not free.,NA,NA,"Archives and Records Management
Digital Archives
Preservation and Conservation of Materials
Best Practices",NA,NA,NA,NA,NCR,Yes,Yes,NA,NA,Not in a library but in an archives,Archivist; Part of the QMS Core Team,Archivist,Archivist,"PLAI, ASLP, ICA, SFA",Professional development; Network; Access to resources
557,"No, I have not renewed my license","Yes, I am currently residing and staying in the Philippines",Woman,26,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,permanent,29,24,monetary allowances,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Master's degree (non-MLIS),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,Yes,Yes,NA,NA,Special-Public,NA,Sole librarian,Administration,ASLP,NA
558,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,59,"Yes, I am currently employed by an institution, agency, individual or similar.",library,21,government,permanent,42,NA,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,GSIS,NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,na,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),No.,NA,Maybe,NA,government facilitated trainings and symposiums,NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",none,NA,NA,NA,NA,NA,NA,NA,Region IV,No,Yes,Cebuano,na,Academic,NA,Head Librarian,Administration,PLAI,None
559,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,37,"Yes, I am currently employed by an institution, agency, individual or similar.",library,16,government,permanent,26,21,paid vacation and/or sick leaves,NA,NA,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,NA,Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",luck of fund because I used my own money in attending seminar and some librarians seminars are too expensive.,NA,NA,about school librarianship,NA,NA,NA,NA,Region I,Yes,No,Ilocano,NA,School Library,Junior High School English subject teacher,One-man librarian,School Librarian III (all-around),PLAI-IRLC,NA
560,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,57,"Yes, I am currently employed by an institution, agency, individual or similar.",library,20,government,permanent,40,19,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,"one sack rice plus groceries worth P2,000 yearly, mid year bonus, year end bonusand productivity incentive",NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),No.,NA,No,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,NA (Have not attended CPD Trainings yet),budget and health condition (I got stroke last March 2015),NA,NA,"updates on information technology, collection development, library marketing, leadership and library management",NA,NA,NA,NA,Region X,No,No,Cebuano,none,academic,full time college librarian,"College Librarian III, Head Librarian, General Reference and Filipiniana Section",Reference,"PLAI, ALINET, MASTLINET, LLAI","professional advancement, caramaderie, service, etc."
561,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",LGBTQ+,24,"Yes, I am currently employed by an institution, agency, individual or similar.",library,5,government,permanent,13,13,paid vacation and/or sick leaves,NA,NA,NA,NA,clothing allowance,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,reference materials,NA,NA,NA,entry level / junior staff,Yes,my answer is yes,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),government facilitated trainings and symposiums,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"from the government (scholarships, free trainings and seminars, etc)",NA,"No, the amount of trainings I received within the last two (2) years is not enough.","budget. 
sometimes it's a struggle to find seminar that is aligned in your position.",NA,NA,reader services training,NA,NA,NA,NA,Region III,Yes,Yes,Waray,NA,academic library,NA,college librarian I,"cataloging, management, reader services",PLAI,professional growth
562,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,26,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,government,job order (J.O.),6,1,NONE / Not Applicable,NA,NA,NA,NA,None,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,entry level / junior staff,Yes,N/a,Bachelor's degree (BLIS),No.,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),government facilitated trainings and symposiums,NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Financial problem of attending the expensive CPD trainings.,NA,NA,None,NA,NA,NA,NA,Region VIII,Yes,No,Waray,Tagalog and Waray,School library,None.,School librarian/Sole librarian,Manager,PLAI,No comment
563,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,36,"Yes, I am currently employed by an institution, agency, individual or similar.",library,15,private (in-house),permanent,NA,NA,paid vacation and/or sick leaves,night differential pay,health card and/or insurance other than PhilHealth,NA,NA,"Rice subsidy
Summer Pay/allowance
Educational benefit 
      -employee taking MA or PhD degree
      - children and dependeny",NA,NA,NA,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,Library plans and programs,NA,NA,NA,supervisory / mid-management level,Yes,N/A,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),No,NA,government facilitated trainings and symposiums,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Budget,NA,NA,"Research
Leadership and management",NA,NA,NA,NA,NCR,Yes,Yes,Kapampangan,n/a,Academic Library,Researcher,Director,Administration,"PLAI, PAARL, PNULISAA",NA
564,"Yes, I have a valid and up-to-date PRC license for librarians","No, I am currently residing outside the Philippines",Woman,47,"Yes, I am currently employed by an institution, agency, individual or similar.",library,13,non-profit,permanent,40,40,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,free shuttle service,NA,NA,"Free ticket on vacation-OFW librarian
Free accommodation",NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,Journals,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,NA,No,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,Researcher,Medical librarian,NA,"PLAI
MAHLAP",NA
565,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,29,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,private (in-house),contractual,100,15,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,BOOKS,NA,NA,NA,entry level / junior staff,Yes,NA,Master's degree (MLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",the funding because I  do provide myself on the registration and so on.,NA,NA,about programming and higher database.,NA,NA,NA,NA,Region X,Yes,No,Others,NA,School Library,I do teach literacy with 18 sections per week from grade 3 to grade 6.,Grade School Librarian,all of the above I am a one man Librarian.,PLAI,To grow more on my field.
566,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,45,"Yes, I am currently employed by an institution, agency, individual or similar.",library,23,government,permanent,40,16,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,"Part time Faculty, Thesis dviser, Resource speaker",NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy theses and dissertations,hardcopy books / pamphlets / etc,institutional files and records,NA,NA,NA,ISO documents,NA,NA,NA,regular / senior staff (non-supervisory),Yes,None,Master's degree (non-MLIS),No.,NA,Yes,Doctor of Philosophy (Ph.D),within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Acquiring cpd points are very expensive,NA,NA,Trainors training on extension and reserch services,NA,NA,NA,NA,Region XII,No,Yes,Others,"Cebuano, Maguindanao",Academic,NA,NA,NA,NA,NA
567,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,24,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,private (in-house),contractual,13,12,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,Uniform allowance. Local tour. 13th month salary.,NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,NA,Bachelor's degree (BLIS),No.,NA,Maybe,NA,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Waiting for a promo fare. Registration fee is so expensive. Paying annual dues.,NA,NA,NA,NA,NA,NA,NA,Region XII,No,Yes,Cebuano,Tagalog and Ilonggo,School library,NA,Head Librarian,Administration,PLAI,Earning CPD units.
